"","ID","Gender","Gender_Code","Age","Shool_Year","School_Year_Code","Transfer","Transfer_Code","Student_Athlete","Student_Athlete_Code","Wealth_SR","GPA","ACT","Subjective_Well_Being","Positive_Affect","Negative_Affect","Relationship_Confidence","Exercise","Academic_Motivation_Intrinsic","Academic_Motivation_Extrinsic","Academic_Motivation_Amotivation","Intelligence_Value","Raven_Score"
"21",21466414,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,2,3,29,4.5,3.8,1.7,4.71,115,4.17,5.33,2,3.67,0.625
"22",21466428,"Female","1",21,"Senior","4","No",FALSE,"Out of season",TRUE,2,3.5,29,5.5,3.3,1.8,4,97,4.5,4.33,1,3.67,0.625
"23",21469059,"Male","2",27,"Post-bac","5","No",FALSE,"non-athlete",FALSE,3,3.8,NA,6,3.9,4,3,67,6.17,5.67,1,3,0.625
"24",21442672,"Male","2",22,"Senior","4","Yes",TRUE,"non-athlete",FALSE,2,3.5,26,4.25,3.2,3.1,3.43,61,2.83,4.17,5.5,3.67,0.625
"25",21466592,"Female","1",20,"Junior","3","No",FALSE,"non-athlete",FALSE,2,3.8,29,6.25,3.6,1.3,4.29,61,4.17,5.5,1,3.67,0.625
"26",21460280,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,3,3.2,21,6.75,3.4,2.2,3.14,44,5.33,6.5,1,3,0.625
"27",21442069,"Male","2",20,"Junior","3","No",FALSE,"In season",TRUE,3,3.9,26,4.67,4.3,2,3.14,38,5.17,6.17,1,3.67,0.625
"28",21396986,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,4,23,4.75,3.7,3.4,3.14,36.5,7,7,1.5,3,0.625
"29",21422686,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,NA,3.2,24,6,4.3,2.8,3.43,33,5.5,3.5,1,4,0.625
"30",21449550,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,3,3,18,5.75,3.6,1.8,4.86,28,4,4.67,1.5,2.67,0.625
"31",21468432,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,2.9,21,5.25,2.9,3.3,3.71,20,4.5,6.83,1,4,0.625
"32",21468670,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.3,21,6,3.1,2.5,3.86,13,4.5,4.17,3.5,2.33,0.625
"33",21466606,"Male","2",21,"Senior","4","No",FALSE,"non-athlete",FALSE,4,3.8,27,6,3.5,3,5,2,3.5,4.5,1,4.33,0.625
"34",21471998,"Female","1",39,"Post-bac","5","No",FALSE,"non-athlete",FALSE,2,3.9,23,5,2.6,2.2,4.14,1,6.33,6.33,1,3.33,0.625
"35",21468172,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,4,21,4.75,3.8,2.8,4.14,0,5.33,4.17,2,2.33,0.625
"36",21451555,"Male","2",20,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.8,29,4,1.2,1.2,4.14,0,2.67,5.5,2,3.67,0.625
"37",21471361,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,3,2.9,21,6.25,4.1,1,4.29,0,7,7,1,5,0.625
"38",21489553,"Female","1",44,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,4,3.6,NA,6,3.3,2.9,4,NA,6,5,1,3.33,0.625
"39",21475614,"Female","1",20,"Sophomore","2","No",FALSE,"Out of season",TRUE,4,3.9,28,4.25,3.4,2,3.43,NA,4.83,6.17,1,3.33,0.625
"40",21393395,"Female","1",20,"Junior","3","Yes",TRUE,"non-athlete",FALSE,3,3.5,28,5.75,3.1,1.3,1.71,260,5,5.33,1,3,0.5
"41",21442706,"Male","2",22,"Senior","4","No",FALSE,"In season",TRUE,4,3.2,24,6,4.9,1.4,3.43,227,4.67,6.17,1,3,0.5
"42",21442045,"Male","2",21,"Junior","3","No",FALSE,"In season",TRUE,2,2.9,22,4,2.6,2.5,3.71,216,4.67,6,3,3.67,0.5
"43",21473205,"Male","2",19,"Sophomore","2","No",FALSE,"Out of season",TRUE,3,3.8,29,6,4,1.7,4,155,5.33,6,1,3.67,0.5
"44",21363617,"Male","2",25,"Senior","4","Yes",TRUE,"Out of season",TRUE,2,2.7,20,4.5,3.3,1.4,3.71,152,6.5,7,1,3,0.5
"45",21475884,"Female","1",25,"Senior","4","Yes",TRUE,"non-athlete",FALSE,3,3.5,25,4.5,3.8,1.9,4.43,151,5,6.17,1,3,0.5
"46",21418902,"Male","2",25,"Post-bac","5","Yes",TRUE,"Out of season",TRUE,2,2.3,NA,4.5,3.3,1.7,5,150,3,7,5,4,0.5
"47",21468984,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3,21,4.5,3.5,2,3.57,65,4.83,5.67,1,4.33,0.5
"48",21467298,"Female","1",22,"Senior","4","No",FALSE,"Out of season",TRUE,2,3.8,27,5,3.8,2.7,3.71,56,6,5.17,1,3,0.5
"49",21363679,"Male","2",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,1,3.5,28,5.5,4.1,2,3,49.5,3.5,5.33,2,3.33,0.5
"50",21481743,"Female","1",18,"First-year","1","No",FALSE,"Out of season",TRUE,3,3.6,26,5.75,3,2,3,49,4.17,6.83,1,3.33,0.5
"51",21468737,"Male","2",22,"Senior","4","No",FALSE,"non-athlete",FALSE,2,3.2,26,2,2.8,2.3,3.43,41,3.33,6,4.5,3.33,0.5
"52",21442494,"Female","1",19,"First-year","1","No",FALSE,"Out of season",TRUE,3,3.7,27,5.75,2.9,2.2,3.29,38,4.5,6.17,1,3.67,0.5
"53",21467805,"Female","1",22,"Senior","4","No",FALSE,"non-athlete",FALSE,3,3.8,21,6.5,3.6,2,4.43,37,4.5,6.5,1,3.67,0.5
"54",21427275,"Male","2",22,"Senior","4","No",FALSE,"non-athlete",FALSE,2,3,22,5.25,3.7,2.8,3.57,31,5.83,4.33,3,3.67,0.5
"55",21427440,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.5,21,5,3.9,2.1,4.29,29,6,7,1,3.33,0.5
"56",21473133,"Female","1",22,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,3,3.5,26,3.75,2.8,2.3,3.29,27,4.17,6.67,1,3,0.5
"57",21483617,"Female","1",20,"Sophomore","2","Yes",TRUE,"non-athlete",FALSE,3,3.2,29,6.5,2.9,2.7,5,14,6,6,1,3.67,0.5
"58",21466992,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.7,26,4.5,3.3,3.2,1,7,5.67,6.17,4.5,4,0.5
"59",21467119,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,2.9,22,3,3.1,3.5,3.57,7,5.5,6.5,4.5,3,0.5
"60",21449529,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,3,2.9,20,3.75,2.9,2.8,3.43,7,4.17,6,2.5,3.67,0.5
"61",21489051,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,3,3.2,NA,6,2.5,3.1,3.86,5,4.67,6.33,1,3.67,0.5
"62",21466374,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.3,25,4.5,2.3,1.4,4.57,4,4.5,6.67,1,3.67,0.5
"63",21466865,"Female","1",31,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,5,3.8,28,4.75,3.5,2.4,3,3,3.67,2.5,2.5,3.33,0.5
"64",21441574,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.9,26,6,3.2,3,2.29,3,6.33,5.17,1,3.33,0.5
"65",21421156,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,4,32,6.75,3.67,1.7,4.43,3,4.33,6.67,1,3,0.5
"66",21475882,"Female","1",NA,"Post-bac","5",NA,NA,"non-athlete",FALSE,1,NA,NA,3,2.9,3.8,4.86,1.5,4.67,6,1,3.33,0.5
"67",21467711,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.4,26,5.5,4,1.6,4,1,6.67,6.33,1,3.67,0.5
"68",21467864,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.5,18,2.25,1.6,2.3,3.29,1,3.33,6.83,2.5,4,0.5
"69",21482282,"Male","2",59,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,3,3.5,NA,3.75,4.4,1.6,2.83,0,4.83,3.5,1,3,0.5
"70",21466849,"Female","1",23,"Sophomore","2","Yes",TRUE,"non-athlete",FALSE,2,2.7,19,3.75,3.4,3.3,4.14,0,4.83,7,1,3.67,0.5
"71",21483506,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.5,28,5.5,3.1,2.6,2,0,3.67,4.67,1.5,3,0.5
"72",21495506,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,5,3.7,31,6,4,1.4,4.43,0,6,5,4,3.67,0.5
"73",21483764,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.8,27,2.5,1.6,2.7,4.29,0,4.17,4.5,3.5,3.33,0.5
"74",21468528,"Male","2",24,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,NA,NA,3,1.9,2.6,1.71,NA,3.17,4.5,1,3.67,0.5
"75",21466331,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.3,17,6.25,4.7,4.6,2.86,NA,6,6,4,3,0.5
"76",21423025,"Male","2",20,"Sophomore","2","Yes",TRUE,"Out of season",TRUE,4,3.5,25,6,4.7,2.1,4.86,NA,4.67,6.33,1,3.33,0.5
"77",21449545,"Male","2",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,3.3,26,3.25,3.1,1.9,3.14,NA,3.67,4.33,5,3.67,0.5
"78",21477004,"Male","2",21,"Senior","4","No",FALSE,"non-athlete",FALSE,4,3.2,24,5.25,3.2,4.2,2.57,12,6.5,5.67,3.5,3.33,0.428571428571429
"79",21479232,"Female","1",20,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.9,NA,3.25,3,3.8,2.43,3,4.5,3.33,5,3,0.428571428571429
"80",21446469,"Female","1",20,"Sophomore","2","No",FALSE,"Out of season",TRUE,3,3.4,26,5.25,4.9,3,3.29,295,4.33,6.17,7,4,0.375
"81",21481009,"Female","1",21,"First-year","1","Yes",TRUE,"non-athlete",FALSE,4,3,NA,6,4.5,2.1,NA,265,5.17,6.33,1,3,0.375
"82",21363755,"Male","2",18,"Sophomore","2","No",FALSE,"non-athlete",FALSE,4,3,23,5,3.2,1.1,2.43,223,6.17,5.83,1,3,0.375
"83",21449567,"Female","1",20,"First-year","1","No",FALSE,"non-athlete",FALSE,3,4,NA,3.5,3.2,2.7,3.29,182,4.33,5.17,3,3.67,0.375
"84",21467739,"Male","2",20,"Junior","3","No",FALSE,"Out of season",TRUE,3,3.3,29,5.75,3.5,2.7,3.71,153,4.67,4.83,1.5,4,0.375
"85",21449542,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,3,3.4,24,5.75,3.2,2.6,3.29,62,4.5,4.5,4.5,3.33,0.375
"86",21442153,"Male","2",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,2.5,28,6.5,3.4,2,4.86,61,2.17,6.5,1,4.33,0.375
"87",21394133,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,3.5,22,5.5,4.5,1.6,2.29,56.5,4.83,4,1,4,0.375
"88",21464473,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,3.9,28,6,4.6,1.6,4.57,56,6.83,6.33,1,3.67,0.375
"89",21461189,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,4,3.5,28,5.75,3.2,2,3.57,54,3.67,5.17,1,3.33,0.375
"90",21479139,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,1,3.8,25,5,4.2,2.2,5,51,5.17,5.6,1,3,0.375
"91",21467787,"Female","1",24,"Post-bac","5","No",FALSE,"non-athlete",FALSE,1,3.7,30,5.5,3.5,2.2,2.86,50,5.83,6.33,1,3.33,0.375
"92",21450542,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,3,3.4,29,5.5,2.5,2.2,4.57,43,4,6.33,1,3.33,0.375
"93",21497632,"Female","1",23,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,3,3.8,28,3.75,3.1,3.1,4.14,39,6.83,5.67,3.5,3.67,0.375
"94",21419517,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,3,3.9,22,3.5,2.56,3.7,2.43,27,3,5.5,1,3.67,0.375
"95",21399526,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,4,3.9,24,2,2.9,3.1,1,26,5.17,2.83,2.5,3.67,0.375
"96",21450550,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,2,3.4,27,4,3.4,2.22,4.86,24,7,7,7,5,0.375
"97",21481269,"Female","1",18,"First-year","1","No",FALSE,"In season",TRUE,4,3.8,21,5.25,4,2.1,3.71,24,5.17,6.83,1,3.67,0.375
"98",21468585,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.4,25,3,2.9,3.1,4.14,19.5,5.83,6.5,1,4,0.375
"99",21466327,"Female","1",20,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.4,25,3.5,3.5,3.9,1.71,17,3.67,5.33,5.5,4.33,0.375
"100",21466378,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.7,24,4.5,2.8,1.5,4.71,15,4.83,5.5,1.5,4.67,0.375
"101",21514526,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,2,2.3,18,4.25,3.2,3.1,3.29,15,3.67,5.33,4,4,0.375
"102",21464725,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,3,NA,28,3.25,3.7,2,4.57,10,4.67,6.67,1,4,0.375
"103",21499045,"Female","1",22,"Senior","4","No",FALSE,"non-athlete",FALSE,1,2.8,21,4.75,4,3.5,3.86,7,5.33,7,1,2.33,0.375
"104",21420677,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,4,4,33,6.75,3.5,1.8,3.71,7,6.67,6.67,1,3.67,0.375
"105",21457029,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,2,3.1,23,4.5,4,2.3,4,7,6,6.5,3.5,4,0.375
"106",21477745,"Female","1",24,"Senior","4","Yes",TRUE,"non-athlete",FALSE,1,3.1,15,2.5,2.8,3,2.43,5,4.67,5.4,1,4,0.375
"107",21423523,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,2,3.2,34,3.5,4.3,1.2,3.86,5,5.67,6,1,4,0.375
"108",21442551,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3,25,6.33,2.7,2,1.43,5,5.83,6.83,1,3.67,0.375
"109",21466480,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.3,22,2.75,2.4,3.1,2.57,5,2.5,6,2,4,0.375
"110",21422209,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,NA,3,25,5.5,2.5,3.3,3,5,4.67,4.83,1,3.33,0.375
"111",21425787,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,3.5,30,5.25,3.3,2.3,3.86,4,5.67,5.67,1.5,3,0.375
"112",21467220,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,1,2,22,4.25,2.1,3.5,2.14,4,6.33,6.67,1,4.33,0.375
"113",21478869,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,3,4,31,6.25,3.7,1.8,2.57,4,5.33,5.17,1.5,4.33,0.375
"114",21466874,"Female","1",26,"Post-bac","5","No",FALSE,"non-athlete",FALSE,3,3.5,NA,2,3.1,2,3.86,3,3.67,6.17,2,3.33,0.375
"115",21500793,"Female","1",25,"Post-bac","5","Yes",TRUE,"non-athlete",FALSE,3,3.8,28,6,2.2,1,4.29,3,3.33,6.5,1,3,0.375
"116",21514432,"Female","1",41,"Post-bac","5","No",FALSE,"non-athlete",FALSE,3,3.9,NA,5,3.6,1.6,3.29,2,3.83,4.83,1,3.33,0.375
"117",21491771,"Female","1",23,"Senior","4","No",FALSE,"non-athlete",FALSE,3,3.2,20,4.5,4.1,1.9,4.29,2,4,5.17,1,5,0.375
"118",21455059,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.8,24,3.75,3.1,2.7,4.86,2,4,6.5,1,2.67,0.375
"119",21470686,"Female","1",20,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.7,25,6.25,2.4,1.7,3.29,2,4,5.17,1,3.33,0.375
"120",21467505,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,2,3.4,23,5.75,3.4,1.6,3.57,1,5.33,6,1,3.33,0.375
"121",21473592,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,2,2.8,20,4.25,3.5,1.4,2.83,1,2.6,4.5,1,2.67,0.375
"122",21483825,"Male","2",46,"Post-bac","5","No",FALSE,"non-athlete",FALSE,5,3.9,27,1,2.6,3.6,4.86,0,4.67,6,2,3,0.375
"123",21418438,"Male","2",22,"Senior","4","No",FALSE,"non-athlete",FALSE,3,3.3,22,5.75,4.3,2,3.14,0,6.33,5.5,2,4.67,0.375
"124",21466489,"Female","1",22,"Senior","4","No",FALSE,"non-athlete",FALSE,4,3.1,31,5,2.6,2.4,3.86,0,5.33,4.5,3,3.33,0.375
"125",21455894,"Female","1",21,"Senior","4","Yes",TRUE,"non-athlete",FALSE,1,3,26,3.25,2.3,2,3.33,0,5,6.5,1,3.67,0.375
"126",21466705,"Male","2",21,"Junior","3","No",FALSE,"non-athlete",FALSE,1,2.8,20,1.75,3.3,3.67,2.86,0,4.33,4.67,4,3.33,0.375
"127",21468786,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,2,2.8,23,3.25,1.9,1.8,3.29,0,3.67,6.67,4,3.67,0.375
"128",21468924,"Female","1",20,"Junior","3","No",FALSE,"non-athlete",FALSE,4,3.8,24,3.75,2.4,1.7,3.14,0,4.33,7,1,3,0.375
"129",21468426,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,4,3,NA,7,4.7,1.6,4.71,0,6.33,3.5,1,2.33,0.375
"130",21468566,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,4,3,23,6.5,3.3,1.7,3.14,0,4.67,3.67,1,3,0.375
"131",21442012,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,3,3.6,23,5,3.9,1.5,5,25,2.33,5.5,1,3.67,0.333333333333333
"132",21442435,"Male","2",19,"Sophomore","2","No",FALSE,"Out of season",TRUE,2,3.7,26,6,3.7,1.9,3.86,219,5,6.67,1,3,0.285714285714286
"133",21501325,"Female","1",NA,"First-year","1","No",FALSE,"In season",TRUE,1,3,18,5.75,4.11,3.6,3.43,100,2.33,6.5,1,3.67,0.285714285714286
"134",21415864,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,2.9,28,5.25,3.5,2.44,3.14,97,2.67,6,6,3,0.285714285714286
"135",21467034,"Female","1",22,"Senior","4","No",FALSE,"non-athlete",FALSE,2,3,19,5.5,4,4,4.14,76.5,6.5,6.67,2,4,0.285714285714286
"136",21449551,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.2,19,5.25,4.5,3.1,4.29,50,5.83,6.33,1,3.67,0.285714285714286
"137",21465285,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,2.3,21,6,1.8,2.4,2.14,3,4.67,5.5,2,3.33,0.285714285714286
"138",21442497,"Male","2",22,"Senior","4","Yes",TRUE,"In season",TRUE,2,3.4,24,4.75,4.5,2,4,1810,4.83,5,1.5,3.33,0.25
"139",21364838,"Female","1",19,"Sophomore","2","No",FALSE,"In season",TRUE,3,4,36,7,3.7,3.78,2.29,385,4.5,4.5,4.5,3.67,0.25
"140",21466407,"Female","1",21,"Senior","4","No",FALSE,"non-athlete",FALSE,4,3.9,23,7,4,1,5,155,6,7,1,5,0.25
"141",21481320,"Female","1",18,"First-year","1","No",FALSE,"Out of season",TRUE,3,3.4,27,4.25,3,2.1,3.29,152,3,6,1,3.67,0.25
"142",21466883,"Male","2",21,"Senior","4","No",FALSE,"non-athlete",FALSE,3,2.8,NA,6,3.5,1.1,3.71,133,5.67,5.67,1,4,0.25
"143",21508085,"Female","1",22,"Senior","4","No",FALSE,"non-athlete",FALSE,4,2.8,22,6,4.4,1.88,4.14,127,7,6.5,1,4,0.25
"144",21418645,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,3.3,22,5.75,4.2,2.2,3.14,109,7,7,7,4.67,0.25
"145",21468829,"Male","2",23,"Senior","4","Yes",TRUE,"non-athlete",FALSE,2,2.7,18,6.75,4.2,2.2,4.14,96,5.2,6.17,1.5,4.33,0.25
"146",21425259,"Male","2",18,"First-year","1","No",FALSE,"non-athlete",FALSE,4,3.2,27,6.25,4.7,2.4,5,95,3.5,7,1,5,0.25
"147",21423130,"Male","2",21,"Senior","4","No",FALSE,"non-athlete",FALSE,3,2.7,21,6.25,5,1.4,4,73,7,6,1,4,0.25
"148",21442079,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.5,23,4.5,2.6,3.3,2.43,61,4.33,7,1,3.67,0.25
"149",21466442,"Female","1",24,"Post-bac","5","No",FALSE,"non-athlete",FALSE,2,3.9,NA,4.75,3.7,2.4,2.71,59,4,5,1.5,3.67,0.25
"150",21427010,"Male","2",26,"Senior","4","No",FALSE,"non-athlete",FALSE,5,4,NA,6,4,3.7,4.67,57,3,5,1,2.67,0.25
"151",21467475,"Female","1",20,"Junior","3","No",FALSE,"non-athlete",FALSE,3,4,31,5,3.1,1.6,3.43,55,6.17,4.5,1,3.33,0.25
"152",21473301,"Male","2",22,"Senior","4","No",FALSE,"non-athlete",FALSE,4,3,19,4.75,3.78,2.2,2.14,54,5.67,6,1.5,4,0.25
"153",21516638,"Female","1",18,"First-year","1","No",FALSE,"Out of season",TRUE,4,3.5,26,5,3.4,1.7,3.43,48,3.83,5.83,1,4,0.25
"154",21468655,"Female","1",20,"Sophomore","2","No",FALSE,"non-athlete",FALSE,1,3.9,25,3.75,2,2,2,41,4,4,4,3,0.25
"155",21478731,"Female","1",19,"Sophomore","2","No",FALSE,"Out of season",TRUE,3,3.5,27,5.5,3.5,2.3,2.86,40,5.33,7,1.5,4,0.25
"156",21467305,"Female","1",21,"Junior","3","No",FALSE,"non-athlete",FALSE,NA,2.8,18,5.75,4.2,1.7,4,39,7,6.83,1,3.67,0.25
"157",21473855,"Female","1",19,"First-year","1","No",FALSE,"non-athlete",FALSE,3,3.7,26,4.25,3.8,1.2,3.71,39,7,4.83,1,3.67,0.25
"158",21478269,"Male","2",22,"Senior","4","Yes",TRUE,"non-athlete",FALSE,2,3.7,21,5,4.6,2.3,4.71,38,5.33,6.17,2,4,0.25
"159",21466642,"Female","1",19,"Junior","3","No",FALSE,"non-athlete",FALSE,2,4,29,7,4.3,2.6,4.29,37,4,5.33,1,3.33,0.25
"160",21422044,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,2,3.9,27,3.5,2.3,2.7,4.29,34,5.17,5.83,2.5,3.67,0.25
"161",21422307,"Male","2",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,2,3,26,5.5,3.2,1.7,2.57,9,5.5,7,3,4,0.25
"162",21469218,"Female","1",19,"Sophomore","2","No",FALSE,"non-athlete",FALSE,3,3.8,24,7,3.5,2.4,4.86,7,7,7,1,4.33,0.25
"163",21467676,"Female","1",18,"First-year","1","No",FALSE,"non-athlete",FALSE,3,4,23,6.25,4.5,1.8,4.29,7,7,6.67,1,4,0.25
